[17:40:59	]Esteban Torres has hit npc_monk in the chest dealing 5 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has gained level 49 in the Guns skill.
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 0 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 1 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has gained level 50 in the Guns skill.
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 1 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has hit npc_monk in the head dealing 5 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 1 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 4 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 0 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 0 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the head dealing 7 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 0 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 1 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has hit npc_monk in the stomach dealing 5 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the right leg dealing 0 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 2 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the right arm dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the right arm dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 4 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has hit npc_monk in the stomach dealing 5 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 3 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 0 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the right arm dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:00	]Esteban Torres has critically hit npc_monk in the right arm dealing 8 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the left arm dealing 8 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the left leg dealing 3 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has hit npc_monk in the right arm dealing 5 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:01	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:16	]Esteban Torres has given himself a ur_spas12_barrel_hl.
[17:41:16	]Esteban Torres has gained a '21.5" Freeman Barrel' #2686753.
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:17	]Esteban Torres has critically hit npc_monk in the left leg dealing 8 damage (CritChance was 0.84).
[17:41:18	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:18	]Esteban Torres has critically hit npc_monk in the stomach dealing 8 damage (CritChance was 0.84).
[17:41:18	]Esteban Torres has critically hit npc_monk in the stomach dealing 3 damage (CritChance was 0.84).
[17:41:18	]Esteban Torres has critically hit npc_monk in the right arm dealing 8 damage (CritChance was 0.84).
[17:41:18	]Esteban Torres has hit npc_monk in the stomach dealing 5 damage (CritChance was 0.84).
