[05:05:23	]Kraas'Etan entered observer.
[05:05:25	]Kraas'Etan exited observer at their location.
[05:05:25	]Kraas'Etan entered observer.
[05:05:26	]Kraas'Etan exited observer at their location.
[05:05:27	]Kraas'Etan entered observer.
[05:05:28	]Kraas'Etan exited observer at their location.
[05:05:28	]Kraas'Etan entered observer.
[05:05:29	]Kraas'Etan exited observer at their location.
[05:05:29	]Kraas'Etan entered observer.
[05:05:31	]Kraas'Etan exited observer at their location.
[05:05:31	]Kraas'Etan entered observer.
[05:05:35	]Kraas'Etan exited observer at their location.
[05:05:36	]Kraas'Etan entered observer.
[05:05:37	]Kraas'Etan exited observer at their location.
[05:05:37	]Kraas'Etan entered observer.
[05:05:38	]Kraas'Etan exited observer at their location.
[05:05:38	]Kraas'Etan entered observer.
[05:05:41	]Kraas'Etan exited observer at their location.
[05:05:42	]Kraas'Etan entered observer.
[05:05:42	]Kraas'Etan exited observer at their location.
[05:05:42	]Kraas'Etan entered observer.
[05:05:43	]Kraas'Etan exited observer at their location.
[05:05:43	]Kraas'Etan entered observer.
[05:05:44	]Kraas'Etan exited observer at their location.
[05:05:45	]Kraas'Etan entered observer.
[05:05:45	]Kraas'Etan exited observer at their location.
[05:05:47	]Kraas'Etan entered observer.
[05:05:47	]Kraas'Etan exited observer at their location.
[05:05:47	]Kraas'Etan entered observer.
[05:05:48	]Kraas'Etan exited observer at their location.
[05:05:48	]Kraas'Etan entered observer.
[05:05:49	]Kraas'Etan exited observer at their location.
[05:05:49	]Kraas'Etan entered observer.
[05:05:50	]Kraas'Etan exited observer at their location.
[05:05:51	]Kraas'Etan entered observer.
[05:05:51	]Kraas'Etan exited observer at their location.
[05:05:51	]Kraas'Etan entered observer.
[05:05:52	]Kraas'Etan exited observer at their location.
[05:05:52	]Kraas'Etan entered observer.
[05:05:53	]Kraas'Etan exited observer at their location.
[05:05:53	]Kraas'Etan entered observer.
[05:05:56	]Kraas'Etan exited observer at their location.
[05:05:56	]Kraas'Etan entered observer.
[05:05:57	]Kraas'Etan exited observer at their location.
[05:05:58	]Kraas'Etan entered observer.
[05:05:58	]Kraas'Etan exited observer at their location.
[05:06:00	]Kraas'Etan entered observer.
[05:06:00	]Kraas'Etan exited observer at their location.
[05:06:01	]Kraas'Etan entered observer.
[05:06:01	]Kraas'Etan exited observer at their location.
[05:06:02	]Kraas'Etan entered observer.
[05:06:03	]Kraas'Etan exited observer at their location.
[05:06:04	]Kraas'Etan entered observer.
[05:06:04	]Kraas'Etan exited observer at their location.
[05:06:04	]Kraas'Etan entered observer.
[05:10:30	]Kraas'Etan exited observer at their location.
[05:10:31	]Kraas'Etan entered observer.
[05:10:34	]Kraas'Etan exited observer at their location.
[05:10:35	]Kraas'Etan entered observer.
[05:10:37	]Kraas'Etan exited observer at their location.
[05:10:37	]Kraas'Etan entered observer.
[05:15:59	]Kraas'Etan has gone afk.
[06:03:25	]Kraas'Etan is fully healed.
[07:42:31	]Raptorian (STEAM_0:1:419522897) has disconnected.
