[19:38:19	]S10/OSL.SAVAGE-37 ran 'drop' on item 'SSG-08' (#2050081)
[19:38:19	]S10/OSL.SAVAGE-37 has lost a 'SSG-08' #2050081.
[19:38:22	]S10/OSL.SAVAGE-37 has used a context menu option with the name: remove
[19:38:32	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:39:21	]S10/OSL.SAVAGE-37 used the 'John Doe' vendor.
[19:39:26	]S10/OSL.SAVAGE-37 has gained 0 chips.
[19:39:26	]S10/OSL.SAVAGE-37 has gained a 'SR-1A' #2051506.
[19:39:28	]S10/OSL.SAVAGE-37 ran 'drop' on item 'SR-1A' (#2051506)
[19:39:28	]S10/OSL.SAVAGE-37 has lost a 'SR-1A' #2051506.
[19:39:30	]S10/OSL.SAVAGE-37 has used a context menu option with the name: remove
[19:39:31	]S10/OSL.SAVAGE-37 used the 'John Doe' vendor.
[19:39:39	]S10/OSL.SAVAGE-37 has gained 0 chips.
[19:39:39	]S10/OSL.SAVAGE-37 has gained a 'Overwatch Assault Shotgun' #2051507.
[19:39:48	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:40:16	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:41:03	]S10/OSL.SAVAGE-37 ran 'drop' on item 'Overwatch Assault Shotgun' (#2051507)
[19:41:03	]S10/OSL.SAVAGE-37 has lost a 'Overwatch Assault Shotgun' #2051507.
[19:41:05	]S10/OSL.SAVAGE-37 has used a context menu option with the name: remove
[19:41:10	]S10/OSL.SAVAGE-37 has given himself a scout.
[19:41:10	]S10/OSL.SAVAGE-37 has gained a 'SSG-08' #2051508.
[19:41:16	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:41:52	]S10/OSL.SAVAGE-37 has given himself a magazine_sniper_10rnd.
[19:41:53	]S10/OSL.SAVAGE-37 has gained a '10rnd Sniper-magazine' #2051509.
[19:41:55	]S10/OSL.SAVAGE-37 has given himself a apex_scope_3.
[19:41:56	]S10/OSL.SAVAGE-37 has gained a '4x-10x Digital Sniper Threat' #2051510.
[19:42:01	]S10/OSL.SAVAGE-37 has given himself a go_fore_bipod.
[19:42:01	]S10/OSL.SAVAGE-37 has gained a 'Bipod' #2051511.
[19:42:06	]S10/OSL.SAVAGE-37 has given himself a go_ssg08_barrel_long.
[19:42:06	]S10/OSL.SAVAGE-37 has gained a '610mm Sniper Barrel' #2051512.
[19:42:09	]S10/OSL.SAVAGE-37 ran 'Equip' on item 'SSG-08' (#2051508)
[19:42:29	]S10/OSL.SAVAGE-37 has given himself a go_optic_awp.
[19:42:29	]S10/OSL.SAVAGE-37 has gained a 'Arctic Warfare (10x)' #2051513.
[19:42:33	]S10/OSL.SAVAGE-37 has lost a 'Arctic Warfare (10x)' #2051513.
[19:42:41	]S10/OSL.SAVAGE-37 has lost a '610mm Sniper Barrel' #2051512.
[19:42:45	]S10/OSL.SAVAGE-37 has lost a 'Bipod' #2051511.
[19:42:56	]S10/OSL.SAVAGE-37 has given himself a bullets_sniper.
[19:42:56	]S10/OSL.SAVAGE-37 has gained a 'Sniper Rifle Bullets' #2051514.
[19:42:58	]S10/OSL.SAVAGE-37 ran 'combine' on item '10rnd Sniper-magazine' (#2051509)
[19:42:58	]S10/OSL.SAVAGE-37 has lost a '10rnd Sniper-magazine' #2051509.
[19:42:59	]S10/OSL.SAVAGE-37 entered observer.
