[03:39:35	]Guido Schwarz has used a context menu option with the name: skin
[03:39:37	]Guido Schwarz has used a context menu option with the name: skin
[03:39:45	]Guido Schwarz has used a context menu option with the name: skin
[03:39:47	]Guido Schwarz has used a context menu option with the name: skin
[03:39:48	]Guido Schwarz exited observer at their location.
[03:39:54	]Guido Schwarz entered observer.
[03:39:56	]Guido Schwarz has enabled persistence for 'models/lurondor/stall.mdl'.
[03:39:56	]Guido Schwarz has used a context menu option with the name: persist
[03:39:57	]Guido Schwarz has enabled persistence for 'models/lurondor/stall.mdl'.
[03:39:57	]Guido Schwarz has used a context menu option with the name: persist
[03:40:04	]Guido Schwarz is fully healed.
[03:40:16	]Guido Schwarz exited observer at their location.
[03:40:42	]Guido Schwarz has used a context menu option with the name: remove
[03:40:43	]Guido Schwarz has used a context menu option with the name: remove
[03:40:47	]Guido Schwarz entered observer.
[03:40:54	]Guido Schwarz has spawned 'models/props_i17/misc/nexus_stage.mdl'.
[03:41:07	]Guido Schwarz exited observer at their location.
[03:41:13	]Guido Schwarz entered observer.
[03:41:31	]Guido Schwarz has used a context menu option with the name: remove
[03:41:41	]Guido Schwarz has spawned 'models/props_silo/rocket_stage1.mdl'.
[03:41:46	]Guido Schwarz has spawned 'models/props_silo/rocket_stage2.mdl'.
[03:41:49	]Guido Schwarz has spawned 'models/props_silo/rocket_stage3.mdl'.
[03:42:13	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/bos/platform04.mdl'.
[03:42:18	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/bos/platform03.mdl'.
[03:42:24	]Guido Schwarz exited observer at their location.
[03:42:33	]Guido Schwarz entered observer.
[03:43:37	]Guido Schwarz has spawned 'models/props/de_nuke/crate_extralarge.mdl'.
[03:44:06	]Guido Schwarz has spawned 'models/props/de_dust/du_crate_64x64.mdl'.
[03:44:10	]Guido Schwarz has spawned 'models/props/props_crates/wooden_crate_64x64_bleach.mdl'.
[03:44:25	]Guido Schwarz has enabled persistence for 'models/props/props_crates/wooden_crate_64x64_bleach.mdl'.
[03:44:25	]Guido Schwarz has used a context menu option with the name: persist
[03:46:01	]Guido Schwarz has spawned 'models/props_junk/PushCart01a.mdl'.
[03:46:09	]Guido Schwarz has spawned 'models/props_junk/PushCart01a.mdl'.
[03:46:14	]Guido Schwarz has enabled persistence for 'models/props_junk/pushcart01a.mdl'.
[03:46:14	]Guido Schwarz has used a context menu option with the name: persist
[03:46:36	]Guido Schwarz has spawned 'models/props_c17/bench01a.mdl'.
[03:46:45	]Guido Schwarz has spawned 'models/props/de_inferno/hr_i/bench/bench.mdl'.
[03:46:46	]Guido Schwarz has spawned 'models/mosi/fallout4/furniture/workstations/workshopbench.mdl'.
[03:46:48	]Guido Schwarz has spawned 'models/props/de_inferno/hr_i/bench/bench.mdl'.
[03:46:52	]Guido Schwarz has spawned 'models/props/de_inferno/hr_i/ornate_bench/ornate_bench.mdl'.
[03:46:57	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_truck_trailer/autumn_truck_trailer_bench.mdl'.
[03:47:00	]Guido Schwarz has spawned 'models/props/de_inferno/bench_wood.mdl'.
[03:47:02	]Guido Schwarz has spawned 'models/props/de_inferno/bench_wood_new.mdl'.
[03:47:04	]Guido Schwarz has spawned 'models/props/de_inferno/stone_bench.mdl'.
[03:47:11	]Guido Schwarz has enabled persistence for 'models/props/de_inferno/stone_bench.mdl'.
[03:47:11	]Guido Schwarz has used a context menu option with the name: persist
[03:47:31	]Guido Schwarz has fired a toolgun with the name: stacker_improved
[03:47:31	]Guido Schwarz has spawned 'models/props/de_inferno/stone_bench.mdl'.
[03:47:35	]Guido Schwarz has enabled persistence for 'models/props/de_inferno/stone_bench.mdl'.
[03:47:35	]Guido Schwarz has used a context menu option with the name: persist
[03:47:40	]Guido Schwarz has spawned 'models/props_junk/TrashBin01a.mdl'.
[03:47:42	]Guido Schwarz created a 'Trash Bin' container.
[03:47:42	]Guido Schwarz has used a context menu option with the name: wncontainer_create
[03:47:47	]Guido Schwarz used command '/ShowEdicts'.
[03:48:12	]Guido Schwarz has spawned 'models/props/de_inferno/stone_bench.mdl'.
[03:48:16	]Guido Schwarz has enabled persistence for 'models/props/de_inferno/stone_bench.mdl'.
[03:48:16	]Guido Schwarz has used a context menu option with the name: persist
[03:48:19	]Guido Schwarz has spawned 'models/props/de_inferno/stone_bench.mdl'.
[03:48:22	]Guido Schwarz has enabled persistence for 'models/props/de_inferno/stone_bench.mdl'.
[03:48:22	]Guido Schwarz has used a context menu option with the name: persist
[03:48:31	]Guido Schwarz has spawned 'models/props_trainstation/bench_indoor001a.mdl'.
[03:48:35	]Guido Schwarz has enabled persistence for 'models/props_trainstation/bench_indoor001a.mdl'.
[03:48:35	]Guido Schwarz has used a context menu option with the name: persist
[03:48:43	]Guido Schwarz has spawned 'models/props_interiors/bench_subway.mdl'.
[03:48:48	]Guido Schwarz has spawned 'models/props_interiors/bench_subway.mdl'.
[03:49:20	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage/autumn_sign_administration.mdl'.
[03:49:26	]Guido Schwarz exited observer at their location.
[03:49:28	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage/autumn_sign_administration.mdl'.
[03:49:35	]Guido Schwarz has enabled persistence for 'models/props/coop_autumn/autumn_signage/autumn_sign_administration.mdl'.
[03:49:35	]Guido Schwarz has used a context menu option with the name: persist
[03:49:35	]Guido Schwarz entered observer.
[03:49:39	]Guido Schwarz exited observer at their location.
[03:49:46	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage_2/autumn_sign_1_max.mdl'.
[03:49:49	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage/autumn_sign_tower_access.mdl'.
[03:49:50	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage/autumn_sign_entrance.mdl'.
[03:49:54	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage_2/autumn_sign_h1.mdl'.
[03:49:55	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage_2/autumn_sign_ob_h1.mdl'.
[03:49:58	]Guido Schwarz has spawned 'models/props/de_venice/renovation_sign_1/renovation_sign_1.mdl'.
[03:50:01	]Guido Schwarz has spawned 'models/props/hr_massive/survival_signage/survival_beach_sign_02.mdl'.
[03:50:02	]Guido Schwarz has spawned 'models/props/hr_massive/survival_signage/survival_beach_sign_01.mdl'.
[03:50:05	]Guido Schwarz has spawned 'models/props/hr_massive/survival_signage/survival_info_kiosk.mdl'.
[03:50:10	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage_2/autumn_sign_quiet_wall.mdl'.
[03:50:12	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage_2/autumn_sign_ob_h3.mdl'.
[03:50:17	]Guido Schwarz has spawned 'models/props/coop_autumn/autumn_signage/autumn_sign_admission.mdl'.
[03:50:21	]Guido Schwarz has spawned 'models/props/industrial17/opensign.mdl'.
[03:50:27	]Guido Schwarz has spawned 'models/props/de_inferno/hr_i/street_signs_a/street_sign_a_b.mdl'.
[03:50:34	]Guido Schwarz has spawned 'models/props/de_nuke/hr_nuke/signs/sign_saftey_helmet_001.mdl'.
[03:50:40	]Guido Schwarz has spawned 'models/props/de_nuke/hr_nuke/signs/sign_first_aid_001.mdl'.
[03:50:41	]Guido Schwarz has spawned 'models/props/de_nuke/hr_nuke/signs/sign_first_aid_001_small.mdl'.
[03:50:47	]Guido Schwarz has spawned 'models/props/de_nuke/hr_nuke/nuke_signs/nuke_sign_01.mdl'.
[03:50:50	]Guido Schwarz has spawned 'models/props/de_dust/hr_dust/dust_signs/dust_sign_shop005.mdl'.
[03:50:55	]Guido Schwarz has spawned 'models/props/de_dust/hr_dust/dust_signs/dust_sign_insert001c.mdl'.
[03:50:58	]Guido Schwarz has spawned 'models/props/de_dust/hr_dust/dust_signs/dust_sign_insert001.mdl'.
[03:51:07	]Guido Schwarz has spawned 'models/props/de_dust/hr_dust/dust_shop_signs/dust_hotel_sign_02.mdl'.
[03:51:13	]Guido Schwarz has spawned 'models/props/de_overpass/overpass_railing_sign.mdl'.
[03:51:29	]Guido Schwarz has spawned 'models/props_urban/exit_sign001.mdl'.
[03:51:31	]Guido Schwarz has spawned 'models/props_signs/sign_street_05.mdl'.
[03:51:35	]Guido Schwarz has spawned 'models/props_signs/sign_street_02.mdl'.
[03:51:46	]Guido Schwarz entered observer.
[03:51:53	]Guido Schwarz exited observer at their location.
[03:52:00	]Guido Schwarz has spawned 'models/props_c17/streetsign005b.mdl'.
[03:52:12	]Guido Schwarz has spawned 'models/props_forest/whiteforestsign.mdl'.
[03:52:15	]Guido Schwarz has spawned 'models/props_misc/military_sign02.mdl'.
[03:52:20	]Guido Schwarz entered observer.
[03:52:30	]Guido Schwarz has spawned 'models/props_misc/military_sign02.mdl'.
[03:52:32	]Guido Schwarz exited observer at their location.
[03:52:45	]Guido Schwarz entered observer.
[03:52:55	]Guido Schwarz exited observer at their location.
[03:52:57	]Guido Schwarz has spawned 'models/props_misc/military_sign02.mdl'.
[03:53:08	]Guido Schwarz has enabled persistence for 'models/props_misc/military_sign02.mdl'.
[03:53:08	]Guido Schwarz has used a context menu option with the name: persist
[03:53:22	]Guido Schwarz entered observer.
[03:53:37	]Guido Schwarz exited observer at their location.
[03:55:16	]Guido Schwarz has set a prop description: 'Yard Information Sign' - 'A sign asking you to follow unit directives and asking you to remove your armband before entry sits by the Yard entrance- it seems to be a helpful piece of advice... should you choose to risk entering.'.
[03:55:16	]Guido Schwarz used command '/PermanentPropDescriptionAdd Yard Information Sign A sign asking you to follow unit directives and asking you to remove your armband before entry sits by the Yard entrance- it seems to be a helpful piece of advice... should you choose to risk entering.'.
[03:55:28	]Guido Schwarz entered observer.
[03:57:00	]Guido Schwarz used command '/ShowEdicts'.
[03:57:14	]Guido Schwarz exited observer at their location.
[03:57:22	]Guido Schwarz has spawned 'models/props_trainstation/bench_indoor001a.mdl'.
[03:57:29	]Guido Schwarz has spawned 'models/props/de_venice/doge_bench_1/doge_bench_1.mdl'.
[03:57:31	]Guido Schwarz has spawned 'models/props/de_venice/loggetta_bench_1/loggetta_bench_1.mdl'.
[03:57:38	]Guido Schwarz has spawned 'models/props/cs_militia/wood_bench.mdl'.
[03:57:47	]Guido Schwarz has spawned 'models/props_trainstation/bench_indoor001a.mdl'.
[03:57:51	]Guido Schwarz has enabled persistence for 'models/props/cs_militia/wood_bench.mdl'.
[03:57:51	]Guido Schwarz has used a context menu option with the name: persist
[03:58:05	]Guido Schwarz has spawned 'models/props/de_venice/venice_museum/venice_museum_table01.mdl'.
[03:58:09	]Guido Schwarz has spawned 'models/props/hr_massive/picnic_table_1/picnic_table_1.mdl'.
[03:58:19	]Guido Schwarz has used a context menu option with the name: remove
[03:58:28	]Guido Schwarz has used a context menu option with the name: collision_off
[03:58:32	]Guido Schwarz used command '/ActSit 5'.
[03:58:33	]Guido Schwarz used command '/ExitAct'.
[03:58:35	]Guido Schwarz used command '/ActSit 5'.
[03:58:44	]Guido Schwarz used command '/ExitAct'.
[03:58:46	]Guido Schwarz has enabled persistence for 'models/props/hr_massive/picnic_table_1/picnic_table_1.mdl'.
[03:58:46	]Guido Schwarz has used a context menu option with the name: persist
[03:59:00	]Guido Schwarz used command '/ActSit 5'.
